,names,price,time_ago,address,time_scraped,area_name
143,Shell,132.9,22 hours ago,"15131 127th StEdmonton, AB",2018-09-09 18:05:36.515511,edmonton
144,Safeway,132.9,1 hour ago,"2304 109th StEdmonton, AB",2018-09-09 18:05:36.515511,edmonton
145,Petro-Canada,130.9,10 hours ago,"5011 137th AveEdmonton, AB",2018-09-09 18:05:36.515511,edmonton
146,Mobil @ No Frills,132.4,19 hours ago,"15505 97th  Edmonton Alberta Edmonton, AB",2018-09-09 18:05:36.515511,edmonton
147,Shell,132.9,1 day ago,"800 Riverbend SquareEdmonton, AB",2018-09-09 18:05:36.515511,edmonton
148,Costco,117.9,15 hours ago,"13650 50th St NWEdmonton, AB",2018-09-09 18:05:36.515511,edmonton
149,Shell,132.9,20 hours ago,"2203 110th StEdmonton, AB",2018-09-09 18:05:36.515511,edmonton
150,Husky,132.9,17 hours ago,"5403 38th AveMill Woods, AB",2018-09-09 18:05:36.515511,edmonton
151,Esso,132.9,1 hour ago,"11104 184th St NWEdmonton, AB",2018-09-09 18:05:36.515511,edmonton
152,Petro-Canada,132.9,4 hours ago,"12659 153rd AveEdmonton, AB",2018-09-09 18:05:36.515511,edmonton
153,Canadian Tire,132.9,1 hour ago,"2204 101st St NWEdmonton, AB",2018-09-09 18:05:36.515511,edmonton
154,Mobil @ Superstore,132.9,28 minutes ago,"9711 23rd AveEdmonton, AB",2018-09-09 18:05:36.515511,edmonton
155,Esso,130.9,1 day ago,"13704 50th StEdmonton, AB",2018-09-09 18:05:36.515511,edmonton
156,Tempo,129.9,11 hours ago,"10415 158th AveEdmonton, AB",2018-09-09 18:05:36.515511,edmonton
157,Safeway,130.9,1 day ago,"500 Manning CrossingEdmonton, AB",2018-09-09 18:05:36.515511,edmonton
158,Costco,117.9,59 minutes ago,"2616 91st  St NWEdmonton, AB",2018-09-09 18:05:36.515511,edmonton
159,7-Eleven,129.9,14 hours ago,"2803 Millwoods RdMill Woods, AB",2018-09-09 18:05:36.515511,edmonton
160,Esso,132.9,2 hours ago,"18904 87th Ave NWEdmonton, AB",2018-09-09 18:05:36.515511,edmonton
161,Mobil @ Superstore,130.9,3 hours ago,"4950 137th Ave NWEdmonton, AB",2018-09-09 18:05:36.515511,edmonton
162,Fas Gas,131.9,10 hours ago,"9618 160th AveEdmonton, AB",2018-09-09 18:05:36.515511,edmonton
163,Petro-Canada,132.9,1 day ago,"12621 Victoria TrEdmonton, AB",2018-09-09 18:05:36.515511,edmonton
164,Husky,130.9,43 minutes ago,"15303 73A StEdmonton, AB",2018-09-09 18:05:36.515511,edmonton
165,Petro-Canada,132.9,10 hours ago,"3402 43rd Ave NWMill Woods, AB",2018-09-09 18:05:36.515511,edmonton
166,7-Eleven,132.6,43 minutes ago,"1903 111th StEdmonton, AB",2018-09-09 18:05:36.515511,edmonton
167,Esso,132.9,43 minutes ago,"3407 43rd AveMill Woods, AB",2018-09-09 18:05:36.515511,edmonton
168,Shell,132.9,15 hours ago,"14004 23rd AveEdmonton, AB",2018-09-09 18:05:36.515511,edmonton
169,Centex,129.9,1 hour ago,"2831 66th StMill Woods, AB",2018-09-09 18:05:36.515511,edmonton
170,Shell,132.9,18 hours ago,"14004 23rd AveEdmonton, AB",2018-09-09 18:05:36.515511,edmonton
171,Esso,132.9,4 hours ago,"14204 23rd AveEdmonton, AB",2018-09-09 18:05:36.515511,edmonton
172,Happy Mart,129.9,,"6004 184th StEdmonton, AB",2018-09-09 18:05:36.515511,edmonton
173,Propane Shack,,,"1110 78th AveEdmonton, AB",2018-09-09 18:05:36.515511,edmonton
174,7-Eleven,132.1,,"8210 160th AveEdmonton, AB",2018-09-09 18:05:36.515511,edmonton
175,Shell,130.9,,"4810 142nd AveEdmonton, AB",2018-09-09 18:05:36.515511,edmonton
176,Petro-Canada,132.9,,"14319 23rd AveEdmonton, AB",2018-09-09 18:05:36.515511,edmonton
