,names,price,time_ago,address,time_scraped,area_name,rack_area_name,time_diff,time,date,tax_less,city,rack,margin
0,Shell,132.9,2 hours,"703 42nd Ave SE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 02:00:00.000000000,2018-09-26 23:26:09,2018-09-26 00:00:00,96.84142857142857,calgary,88.4,8.44142857142856
1,Husky,131.9,2 hours,"4201 Macleod Tr S Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 02:00:00.000000000,2018-09-26 23:26:09,2018-09-26 00:00:00,95.88904761904762,calgary,88.4,7.489047619047611
2,7-Eleven,131.6,2 hours,"4001 Macleod Tr S Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 02:00:00.000000000,2018-09-26 23:26:09,2018-09-26 00:00:00,95.60333333333332,calgary,88.4,7.203333333333319
3,Petro-Canada,131.9,4 hours,"1840 9th Ave SE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 04:00:00.000000000,2018-09-26 21:26:09,2018-09-26 00:00:00,95.88904761904762,calgary,88.4,7.489047619047611
4,Centex,130.9,13 hours,"808 19th St SE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 13:00:00.000000000,2018-09-26 12:26:09,2018-09-26 00:00:00,94.93666666666667,calgary,88.4,6.536666666666662
5,Husky,131.9,10 hours,"5316 Macleod Tr S Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 10:00:00.000000000,2018-09-26 15:26:09,2018-09-26 00:00:00,95.88904761904762,calgary,88.4,7.489047619047611
7,Petro-Canada,131.9,7 hours,"336 58th Ave SE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 07:00:00.000000000,2018-09-26 18:26:09,2018-09-26 00:00:00,95.88904761904762,calgary,88.4,7.489047619047611
8,Shell,131.9,12 hours,"5919 Macleod Tr S Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 12:00:00.000000000,2018-09-26 13:26:09,2018-09-26 00:00:00,95.88904761904762,calgary,88.4,7.489047619047611
9,Esso,127.9,2 hours,"2619 14th St  SW Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 02:00:00.000000000,2018-09-26 23:26:09,2018-09-26 00:00:00,92.0795238095238,calgary,88.4,3.6795238095238005
10,Shell,131.9,9 hours,"7014 Fairmount Dr SE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 09:00:00.000000000,2018-09-26 16:26:09,2018-09-26 00:00:00,95.88904761904762,calgary,88.4,7.489047619047611
11,Petro-Canada,131.9,2 hours,"2515 50th Ave SE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 02:00:00.000000000,2018-09-26 23:26:09,2018-09-26 00:00:00,95.88904761904762,calgary,88.4,7.489047619047611
12,Esso,131.9,3 hours,"6815 Macleod Tr SW Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 03:00:00.000000000,2018-09-26 22:26:09,2018-09-26 00:00:00,95.88904761904762,calgary,88.4,7.489047619047611
13,Co-op,131.9,3 hours,"6905 Macleod Tr SW Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 03:00:00.000000000,2018-09-26 22:26:09,2018-09-26 00:00:00,95.88904761904762,calgary,88.4,7.489047619047611
14,Smart Mart & Gas,131.9,6 hours,"3101 34th Ave SE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 06:00:00.000000000,2018-09-26 19:26:09,2018-09-26 00:00:00,95.88904761904762,calgary,88.4,7.489047619047611
15,7-Eleven,131.9,16 hours,"7102 Elbow Dr SW Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 16:00:00.000000000,2018-09-26 09:26:09,2018-09-26 00:00:00,95.88904761904762,calgary,88.4,7.489047619047611
16,Petro-Canada,133.9,1 day,"2235 33rd Ave SW Calgary, AB",2018-09-27 01:26:09,calgary,calgary,1 days 00:00:00.000000000,2018-09-26 01:26:09,2018-09-26 00:00:00,97.79380952380951,calgary,88.4,9.393809523809509
17,Centex,131.9,1 day,"3110 36th St SE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,1 days 00:00:00.000000000,2018-09-26 01:26:09,2018-09-26 00:00:00,95.88904761904762,calgary,88.4,7.489047619047611
18,Esso,131.9,2 hours,"2404  68th Ave SE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 02:00:00.000000000,2018-09-26 23:26:09,2018-09-26 00:00:00,95.88904761904762,calgary,88.4,7.489047619047611
19,Gas Plus,131.9,2 hours,"6813 Ogden Rd SE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 02:00:00.000000000,2018-09-26 23:26:09,2018-09-26 00:00:00,95.88904761904762,calgary,88.4,7.489047619047611
20,Husky,123.9,2 hours,"2504 7th Ave NE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 02:00:00.000000000,2018-09-26 23:26:09,2018-09-26 00:00:00,88.27,calgary,88.4,-0.13000000000000966
21,G&B Fuels,133.9,11 hours,"2623 17th Ave SW Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 11:00:00.000000000,2018-09-26 14:26:09,2018-09-26 00:00:00,97.79380952380951,calgary,88.4,9.393809523809509
22,Petro-Canada,,2 hours,"1320 16th Ave NW Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 02:00:00.000000000,2018-09-26 23:26:09,2018-09-26 00:00:00,,calgary,88.4,
23,Fas Gas,131.9,7 hours,"7404 Ogden Rd SE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 07:00:00.000000000,2018-09-26 18:26:09,2018-09-26 00:00:00,95.88904761904762,calgary,88.4,7.489047619047611
24,Shell,131.9,8 hours,"8247 Elbow Dr SW Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 08:00:00.000000000,2018-09-26 17:26:09,2018-09-26 00:00:00,95.88904761904762,calgary,88.4,7.489047619047611
25,Co-op,131.9,9 hours,"2807 17th  SW Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 09:00:00.000000000,2018-09-26 16:26:09,2018-09-26 00:00:00,95.88904761904762,calgary,88.4,7.489047619047611
26,Centex,130.9,2 hours,"3716 61st Ave SE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 02:00:00.000000000,2018-09-26 23:26:09,2018-09-26 00:00:00,94.93666666666667,calgary,88.4,6.536666666666662
27,Co-op,129.9,2 hours,"8818 MacLeod Tr S Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 02:00:00.000000000,2018-09-26 23:26:09,2018-09-26 00:00:00,93.9842857142857,calgary,88.4,5.5842857142856985
28,Esso,127.9,2 hours,"614 Crowchild Tr NW Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 02:00:00.000000000,2018-09-26 23:26:09,2018-09-26 00:00:00,92.0795238095238,calgary,88.4,3.6795238095238005
29,Canadian Tire,132.9,7 hours,"3516 8th Ave NE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 07:00:00.000000000,2018-09-26 18:26:09,2018-09-26 00:00:00,96.84142857142857,calgary,88.4,8.44142857142856
30,Shell,131.9,3 hours,"50 Riverglen Dr SE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 03:00:00.000000000,2018-09-26 22:26:09,2018-09-26 00:00:00,95.88904761904762,calgary,88.4,7.489047619047611
31,Centex,128.9,12 hours,"3111 Edmonton Tr NE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 12:00:00.000000000,2018-09-26 13:26:09,2018-09-26 00:00:00,93.03190476190476,calgary,88.4,4.6319047619047495
32,Husky,133.9,2 hours,"3503 26th Ave SW Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 02:00:00.000000000,2018-09-26 23:26:09,2018-09-26 00:00:00,97.79380952380951,calgary,88.4,9.393809523809509
33,Gas Plus,130.9,5 hours,"440 Erin Woods Dr SE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 05:00:00.000000000,2018-09-26 20:26:09,2018-09-26 00:00:00,94.93666666666667,calgary,88.4,6.536666666666662
34,7-Eleven,131.9,5 hours,"3963 52nd St SE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 05:00:00.000000000,2018-09-26 20:26:09,2018-09-26 00:00:00,95.88904761904762,calgary,88.4,7.489047619047611
36,Husky,130.9,2 hours,"3716 Richmond RdCalgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 02:00:00.000000000,2018-09-26 23:26:09,2018-09-26 00:00:00,94.93666666666667,calgary,88.4,6.536666666666662
37,Shell,134.9,2 hours,"1595 32nd Ave NE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 02:00:00.000000000,2018-09-26 23:26:09,2018-09-26 00:00:00,98.74619047619048,calgary,88.4,10.346190476190472
38,Shell,130.9,2 hours,"3805 Richmond Rd SW Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 02:00:00.000000000,2018-09-26 23:26:09,2018-09-26 00:00:00,94.93666666666667,calgary,88.4,6.536666666666662
39,Centex,127.9,2 hours,"2105 52nd St SE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 02:00:00.000000000,2018-09-26 23:26:09,2018-09-26 00:00:00,92.0795238095238,calgary,88.4,3.6795238095238005
40,Petro-Canada,130.9,3 hours,"4646 37th St SW Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 03:00:00.000000000,2018-09-26 22:26:09,2018-09-26 00:00:00,94.93666666666667,calgary,88.4,6.536666666666662
41,Shell,129.9,7 hours,"4216 72nd Ave SE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 07:00:00.000000000,2018-09-26 18:26:09,2018-09-26 00:00:00,93.9842857142857,calgary,88.4,5.5842857142856985
42,Husky,125.9,4 hours,"5505 17th Ave SE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 04:00:00.000000000,2018-09-26 21:26:09,2018-09-26 00:00:00,90.17476190476191,calgary,88.4,1.7747619047619025
43,Shell,132.9,2 hours,"3808 Bow Tr SW Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 02:00:00.000000000,2018-09-26 23:26:09,2018-09-26 00:00:00,96.84142857142857,calgary,88.4,8.44142857142856
44,Trio Gas & Wash,128.8,3 hours,"5510 Hubalta Rd SE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 03:00:00.000000000,2018-09-26 22:26:09,2018-09-26 00:00:00,92.93666666666667,calgary,88.4,4.536666666666662
45,Husky,132.9,2 hours,"3824 Bow Tr SW Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 02:00:00.000000000,2018-09-26 23:26:09,2018-09-26 00:00:00,96.84142857142857,calgary,88.4,8.44142857142856
46,Petro-Canada,128.9,2 hours,"9900 Fairmont Dr SE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 02:00:00.000000000,2018-09-26 23:26:09,2018-09-26 00:00:00,93.03190476190476,calgary,88.4,4.6319047619047495
47,Canadian Tire,129.9,3 hours,"9940 Macleod Tr SE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 03:00:00.000000000,2018-09-26 22:26:09,2018-09-26 00:00:00,93.9842857142857,calgary,88.4,5.5842857142856985
48,Petro-Canada,134.9,2 hours,"2655 36th St NE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 02:00:00.000000000,2018-09-26 23:26:09,2018-09-26 00:00:00,98.74619047619048,calgary,88.4,10.346190476190472
49,Husky,128.9,4 hours,"10241 Elbow Dr SW Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 04:00:00.000000000,2018-09-26 21:26:09,2018-09-26 00:00:00,93.03190476190476,calgary,88.4,4.6319047619047495
50,Petro-Canada,130.9,1 day,"1704 61st St SE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,1 days 00:00:00.000000000,2018-09-26 01:26:09,2018-09-26 00:00:00,94.93666666666667,calgary,88.4,6.536666666666662
51,Petro-Canada,131.9,4 hours,"5004 Centre St N Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 04:00:00.000000000,2018-09-26 21:26:09,2018-09-26 00:00:00,95.88904761904762,calgary,88.4,7.489047619047611
52,Husky,134.9,3 hours,"6060 Memorial Dr NE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 03:00:00.000000000,2018-09-26 22:26:09,2018-09-26 00:00:00,98.74619047619048,calgary,88.4,10.346190476190472
53,Shell,134.9,11 hours,"1103–1199 Aviation Blvd NE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 11:00:00.000000000,2018-09-26 14:26:09,2018-09-26 00:00:00,98.74619047619048,calgary,88.4,10.346190476190472
54,Gas Plus,131.9,3 hours,"5216 6th St NE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 03:00:00.000000000,2018-09-26 22:26:09,2018-09-26 00:00:00,95.88904761904762,calgary,88.4,7.489047619047611
55,Husky,130.9,5 hours,"1919 Sirocco Dr SW Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 05:00:00.000000000,2018-09-26 20:26:09,2018-09-26 00:00:00,94.93666666666667,calgary,88.4,6.536666666666662
56,Co-op,131.9,3 hours,"2520 52nd St NE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 03:00:00.000000000,2018-09-26 22:26:09,2018-09-26 00:00:00,95.88904761904762,calgary,88.4,7.489047619047611
57,Co-op,128.9,4 hours,"2580 Southland Dr SW Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 04:00:00.000000000,2018-09-26 21:26:09,2018-09-26 00:00:00,93.03190476190476,calgary,88.4,4.6319047619047495
58,Mobil @ Superstore,128.9,2 hours," 5858 Signal Hill Center SW Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 02:00:00.000000000,2018-09-26 23:26:09,2018-09-26 00:00:00,93.03190476190476,calgary,88.4,4.6319047619047495
59,Co-op,131.9,7 hours,"4122 Brentwood Rd NW Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 07:00:00.000000000,2018-09-26 18:26:09,2018-09-26 00:00:00,95.88904761904762,calgary,88.4,7.489047619047611
60,Co-op,125.9,10 hours,"4608 16th Ave NW Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 10:00:00.000000000,2018-09-26 15:26:09,2018-09-26 00:00:00,90.17476190476191,calgary,88.4,1.7747619047619025
61,Canadian Tire,131.9,16 hours,"596 64th Ave NE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 16:00:00.000000000,2018-09-26 09:26:09,2018-09-26 00:00:00,95.88904761904762,calgary,88.4,7.489047619047611
62,Flying J,129.9,2 hours,"11511 40 St SE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 02:00:00.000000000,2018-09-26 23:26:09,2018-09-26 00:00:00,93.9842857142857,calgary,88.4,5.5842857142856985
63,Centex,125.9,2 hours,"5108 Bowness Rd NW Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 02:00:00.000000000,2018-09-26 23:26:09,2018-09-26 00:00:00,90.17476190476191,calgary,88.4,1.7747619047619025
64,Esso,132.9,1 hour,"1201 1st St SE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 01:00:00.000000000,2018-09-27 00:26:09,2018-09-27 00:00:00,96.84142857142857,calgary,88.1,8.741428571428571
65,Petro-Canada,138.9,1 hour,"1920 4th St SW Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 01:00:00.000000000,2018-09-27 00:26:09,2018-09-27 00:00:00,102.55571428571427,calgary,88.1,14.45571428571428
66,Gas Plus,128.9,1 hour,"204 11th Ave SE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 01:00:00.000000000,2018-09-27 00:26:09,2018-09-27 00:00:00,93.03190476190476,calgary,88.1,4.931904761904761
67,Shell,131.9,1 hour,"539 17th Ave SW Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 01:00:00.000000000,2018-09-27 00:26:09,2018-09-27 00:00:00,95.88904761904762,calgary,88.1,7.789047619047622
68,Husky,131.9,1 hour,"1419 8th St SW Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 01:00:00.000000000,2018-09-27 00:26:09,2018-09-27 00:00:00,95.88904761904762,calgary,88.1,7.789047619047622
69,Centex,134.9,5 minutes,"12 4th St NE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 00:05:00.000000000,2018-09-27 01:21:09,2018-09-27 00:00:00,98.74619047619048,calgary,88.1,10.646190476190483
70,Petro-Canada,127.4,1 hour,"630 1st Ave NE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 01:00:00.000000000,2018-09-27 00:26:09,2018-09-27 00:00:00,91.60333333333332,calgary,88.1,3.5033333333333303
71,Flying J,131.9,1 hour,"4949 Barlow Tr SE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 01:00:00.000000000,2018-09-27 00:26:09,2018-09-27 00:00:00,95.88904761904762,calgary,88.1,7.789047619047622
72,Shell,129.9,19 minutes,"1304 14th St SW Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 00:19:00.000000000,2018-09-27 01:07:09,2018-09-27 00:00:00,93.9842857142857,calgary,88.1,5.88428571428571
73,Gas Plus,129.9,1 hour,"4004 26th St SE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 01:00:00.000000000,2018-09-27 00:26:09,2018-09-27 00:00:00,93.9842857142857,calgary,88.1,5.88428571428571
74,Husky,129.9,1 hour,"1205 14th St SW Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 01:00:00.000000000,2018-09-27 00:26:09,2018-09-27 00:00:00,93.9842857142857,calgary,88.1,5.88428571428571
75,Costco,124.9,22 minutes,"99 Heritage Gate SE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 00:22:00.000000000,2018-09-27 01:04:09,2018-09-27 00:00:00,89.22238095238095,calgary,88.1,1.1223809523809507
76,Fair Deal Tire,130.9,1 hour,"2740 17th Ave SE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 01:00:00.000000000,2018-09-27 00:26:09,2018-09-27 00:00:00,94.93666666666667,calgary,88.1,6.836666666666673
77,Esso,131.9,1 hour,"2825 17th Ave SE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 01:00:00.000000000,2018-09-27 00:26:09,2018-09-27 00:00:00,95.88904761904762,calgary,88.1,7.789047619047622
78,Co-op,131.9,25 minutes,"6 Heritage Gate SE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 00:25:00.000000000,2018-09-27 01:01:09,2018-09-27 00:00:00,95.88904761904762,calgary,88.1,7.789047619047622
79,Shell,127.9,1 hour,"505 10th St  NW Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 01:00:00.000000000,2018-09-27 00:26:09,2018-09-27 00:00:00,92.0795238095238,calgary,88.1,3.979523809523812
80,Petro-Canada,127.9,1 hour,"1438 Kensington Rd NW Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 01:00:00.000000000,2018-09-27 00:26:09,2018-09-27 00:00:00,92.0795238095238,calgary,88.1,3.979523809523812
81,Petro-Canada,128.9,1 hour,"839 19th St NE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 01:00:00.000000000,2018-09-27 00:26:09,2018-09-27 00:00:00,93.03190476190476,calgary,88.1,4.931904761904761
82,Co-op,130.9,1 hour,"3330 17th Ave SE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 01:00:00.000000000,2018-09-27 00:26:09,2018-09-27 00:00:00,94.93666666666667,calgary,88.1,6.836666666666673
83,Co-op,127.9,54 minutes,"540 16th Ave NE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 00:54:00.000000000,2018-09-27 00:32:09,2018-09-27 00:00:00,92.0795238095238,calgary,88.1,3.979523809523812
84,7-Eleven,128.6,54 minutes,"311 16th Ave NE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 00:54:00.000000000,2018-09-27 00:32:09,2018-09-27 00:00:00,92.74619047619046,calgary,88.1,4.646190476190469
85,Esso,127.9,54 minutes,"256 16th Ave NE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 00:54:00.000000000,2018-09-27 00:32:09,2018-09-27 00:00:00,92.0795238095238,calgary,88.1,3.979523809523812
86,Petro-Canada,127.9,53 minutes,"624 16th Ave NE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 00:53:00.000000000,2018-09-27 00:33:09,2018-09-27 00:00:00,92.0795238095238,calgary,88.1,3.979523809523812
87,Petro-Canada,134.9,7 minutes,"7603 Macleod Tr SW Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 00:07:00.000000000,2018-09-27 01:19:09,2018-09-27 00:00:00,98.74619047619048,calgary,88.1,10.646190476190483
88,Petro-Canada,127.9,1 hour,"15 Erin Woods Blvd SE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 01:00:00.000000000,2018-09-27 00:26:09,2018-09-27 00:00:00,92.0795238095238,calgary,88.1,3.979523809523812
89,Shell,131.9,7 minutes,"8251 Fairmount Dr SE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 00:07:00.000000000,2018-09-27 01:19:09,2018-09-27 00:00:00,95.88904761904762,calgary,88.1,7.789047619047622
90,Centex,130.9,1 hour,"2201 Kensington Rd NW Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 01:00:00.000000000,2018-09-27 00:26:09,2018-09-27 00:00:00,94.93666666666667,calgary,88.1,6.836666666666673
91,Husky,131.9,1 hour,"3819 17th Ave SE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 01:00:00.000000000,2018-09-27 00:26:09,2018-09-27 00:00:00,95.88904761904762,calgary,88.1,7.789047619047622
92,Shell,128.9,1 hour,"2020 16th Ave NE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 01:00:00.000000000,2018-09-27 00:26:09,2018-09-27 00:00:00,93.03190476190476,calgary,88.1,4.931904761904761
93,Centex,128.9,53 minutes,"2323 Centre St N Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 00:53:00.000000000,2018-09-27 00:33:09,2018-09-27 00:00:00,93.03190476190476,calgary,88.1,4.931904761904761
94,Petro-Canada,134.9,7 minutes,"120 36th St SE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 00:07:00.000000000,2018-09-27 01:19:09,2018-09-27 00:00:00,98.74619047619048,calgary,88.1,10.646190476190483
95,Centex,128.9,2 minutes,"1740 16th Ave NW Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 00:02:00.000000000,2018-09-27 01:24:09,2018-09-27 00:00:00,93.03190476190476,calgary,88.1,4.931904761904761
96,Petro-Canada,127.9,33 minutes,"432  8338 18th St SE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 00:33:00.000000000,2018-09-27 00:53:09,2018-09-27 00:00:00,92.0795238095238,calgary,88.1,3.979523809523812
97,Gas Plus,128.9,2 minutes,"2364 20th Ave NE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 00:02:00.000000000,2018-09-27 01:24:09,2018-09-27 00:00:00,93.03190476190476,calgary,88.1,4.931904761904761
98,Can Pro Gas & Propane,126.9,6 minutes,"2464 23rd Ave NE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 00:06:00.000000000,2018-09-27 01:20:09,2018-09-27 00:00:00,91.12714285714286,calgary,88.1,3.027142857142863
99,Petro-Canada,129.9,1 hour,"9288 Macleod Tr S Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 01:00:00.000000000,2018-09-27 00:26:09,2018-09-27 00:00:00,93.9842857142857,calgary,88.1,5.88428571428571
100,Domo,130.9,6 minutes,"5113 17th Ave SE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 00:06:00.000000000,2018-09-27 01:20:09,2018-09-27 00:00:00,94.93666666666667,calgary,88.1,6.836666666666673
101,Gas Plus,130.9,13 minutes,"3540 52nd St SE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 00:13:00.000000000,2018-09-27 01:13:09,2018-09-27 00:00:00,94.93666666666667,calgary,88.1,6.836666666666673
102,Shell,129.9,1 hour,"9420 Macleod Tr S Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 01:00:00.000000000,2018-09-27 00:26:09,2018-09-27 00:00:00,93.9842857142857,calgary,88.1,5.88428571428571
103,Esso,130.9,1 hour,"3803 17th Ave SW Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 01:00:00.000000000,2018-09-27 00:26:09,2018-09-27 00:00:00,94.93666666666667,calgary,88.1,6.836666666666673
104,Centex,129.9,10 minutes,"3001 19th St NE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 00:10:00.000000000,2018-09-27 01:16:09,2018-09-27 00:00:00,93.9842857142857,calgary,88.1,5.88428571428571
105,Co-op,130.9,9 minutes,"5250 50th Ave SE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 00:09:00.000000000,2018-09-27 01:17:09,2018-09-27 00:00:00,94.93666666666667,calgary,88.1,6.836666666666673
106,Safeway,129.9,17 minutes,"1600 90th Ave SW Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 00:17:00.000000000,2018-09-27 01:09:09,2018-09-27 00:00:00,93.9842857142857,calgary,88.1,5.88428571428571
107,Centex,125.9,42 minutes,"9704 Elbow Dr SW Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 00:42:00.000000000,2018-09-27 00:44:09,2018-09-27 00:00:00,90.17476190476191,calgary,88.1,2.074761904761914
108,Esso,131.9,1 hour,"9835 Macleod TrCalgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 01:00:00.000000000,2018-09-27 00:26:09,2018-09-27 00:00:00,95.88904761904762,calgary,88.1,7.789047619047622
109,Mobil @ Superstore,128.9,40 minutes,"3571 20th Ave NE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 00:40:00.000000000,2018-09-27 00:46:09,2018-09-27 00:00:00,93.03190476190476,calgary,88.1,4.931904761904761
110,7-Eleven,128.9,31 minutes,"5320 8th Ave SE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 00:31:00.000000000,2018-09-27 00:55:09,2018-09-27 00:00:00,93.03190476190476,calgary,88.1,4.931904761904761
111,Fill N' Go,128.9,1 hour,"4002 Edmonton Tr NE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 01:00:00.000000000,2018-09-27 00:26:09,2018-09-27 00:00:00,93.03190476190476,calgary,88.1,4.931904761904761
112,Husky,129.9,35 minutes,"2525 32nd Ave NE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 00:35:00.000000000,2018-09-27 00:51:09,2018-09-27 00:00:00,93.9842857142857,calgary,88.1,5.88428571428571
113,Domo,127.9,21 minutes,"791 Northmount Dr NW Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 00:21:00.000000000,2018-09-27 01:05:09,2018-09-27 00:00:00,92.0795238095238,calgary,88.1,3.979523809523812
114,Petro-Canada,128.9,31 minutes,"10120 Elbow Dr SW Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 00:31:00.000000000,2018-09-27 00:55:09,2018-09-27 00:00:00,93.03190476190476,calgary,88.1,4.931904761904761
115,Sunrise Gas,129.9,1 hour,"2748 32nd St NE Calgary, AB",2018-09-27 01:26:09,calgary,calgary,0 days 01:00:00.000000000,2018-09-27 00:26:09,2018-09-27 00:00:00,93.9842857142857,calgary,88.1,5.88428571428571
